pygame 2.5.1 (SDL 2.28.2, Python 3.7.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
INFO: listening to server localhost:2000
Example of automatic vehicle control from client side.
waypoint: Location(x=-19.400000, y=243.600006, z=0.100000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-311.576813, y=243.562927, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-309.465393, y=243.687408, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-307.351746, y=243.765564, z=0.000000)
run_step waypoint loc: Location(x=-305.236908, y=243.797348, z=0.000000)
run_step waypoint loc: Location(x=-305.236908, y=243.797348, z=0.000000)
run_step waypoint loc: Location(x=-305.236908, y=243.797348, z=0.000000)
run_step waypoint loc: Location(x=-305.236908, y=243.797348, z=0.000000)
run_step waypoint loc: Location(x=-305.236908, y=243.797348, z=0.000000)
run_step waypoint loc: Location(x=-303.206146, y=243.795364, z=0.000000)
run_step waypoint loc: Location(x=-303.206146, y=243.795364, z=0.000000)
run_step waypoint loc: Location(x=-303.206146, y=243.795364, z=0.000000)
run_step waypoint loc: Location(x=-303.206146, y=243.795364, z=0.000000)
run_step waypoint loc: Location(x=-303.206146, y=243.795364, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-300.220551, y=243.789993, z=0.000000)
run_step waypoint loc: Location(x=-298.220551, y=243.786392, z=0.000000)
run_step waypoint loc: Location(x=-298.220551, y=243.786392, z=0.000000)
run_step waypoint loc: Location(x=-298.220551, y=243.786392, z=0.000000)
run_step waypoint loc: Location(x=-298.220551, y=243.786392, z=0.000000)
run_step waypoint loc: Location(x=-298.220551, y=243.786392, z=0.000000)
run_step waypoint loc: Location(x=-296.220551, y=243.782791, z=0.000000)
run_step waypoint loc: Location(x=-296.220551, y=243.782791, z=0.000000)
run_step waypoint loc: Location(x=-296.220551, y=243.782791, z=0.000000)
run_step waypoint loc: Location(x=-296.220551, y=243.782791, z=0.000000)
run_step waypoint loc: Location(x=-296.220551, y=243.782791, z=0.000000)
run_step waypoint loc: Location(x=-294.220551, y=243.779205, z=0.000000)
run_step waypoint loc: Location(x=-294.220551, y=243.779205, z=0.000000)
run_step waypoint loc: Location(x=-294.220551, y=243.779205, z=0.000000)
run_step waypoint loc: Location(x=-294.220551, y=243.779205, z=0.000000)
run_step waypoint loc: Location(x=-294.220551, y=243.779205, z=0.000000)
run_step waypoint loc: Location(x=-292.220551, y=243.775604, z=0.000000)
run_step waypoint loc: Location(x=-292.220551, y=243.775604, z=0.000000)
run_step waypoint loc: Location(x=-292.220551, y=243.775604, z=0.000000)
run_step waypoint loc: Location(x=-292.220551, y=243.775604, z=0.000000)
run_step waypoint loc: Location(x=-292.220551, y=243.775604, z=0.000000)
run_step waypoint loc: Location(x=-290.220581, y=243.772003, z=0.000000)
run_step waypoint loc: Location(x=-290.220581, y=243.772003, z=0.000000)
run_step waypoint loc: Location(x=-290.220581, y=243.772003, z=0.000000)
run_step waypoint loc: Location(x=-290.220581, y=243.772003, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-288.220581, y=243.768402, z=0.000000)
run_step waypoint loc: Location(x=-286.220581, y=243.764801, z=0.000000)
run_step waypoint loc: Location(x=-286.220581, y=243.764801, z=0.000000)
run_step waypoint loc: Location(x=-286.220581, y=243.764801, z=0.000000)
run_step waypoint loc: Location(x=-286.220581, y=243.764801, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-284.220581, y=243.761200, z=0.000000)
run_step waypoint loc: Location(x=-282.220581, y=243.757614, z=0.000000)
run_step waypoint loc: Location(x=-282.220581, y=243.757614, z=0.000000)
run_step waypoint loc: Location(x=-282.220581, y=243.757614, z=0.000000)
run_step waypoint loc: Location(x=-282.220581, y=243.757614, z=0.000000)
run_step waypoint loc: Location(x=-280.220581, y=243.754013, z=0.000000)
run_step waypoint loc: Location(x=-280.220581, y=243.754013, z=0.000000)
run_step waypoint loc: Location(x=-280.220581, y=243.754013, z=0.000000)
run_step waypoint loc: Location(x=-280.220581, y=243.754013, z=0.000000)
run_step waypoint loc: Location(x=-280.220581, y=243.754013, z=0.000000)
run_step waypoint loc: Location(x=-278.220581, y=243.750412, z=0.000000)
run_step waypoint loc: Location(x=-278.220581, y=243.750412, z=0.000000)
run_step waypoint loc: Location(x=-278.220581, y=243.750412, z=0.000000)
run_step waypoint loc: Location(x=-278.220581, y=243.750412, z=0.000000)
run_step waypoint loc: Location(x=-278.220581, y=243.750412, z=0.000000)
run_step waypoint loc: Location(x=-276.220581, y=243.746811, z=0.000000)
run_step waypoint loc: Location(x=-276.220581, y=243.746811, z=0.000000)
run_step waypoint loc: Location(x=-276.220581, y=243.746811, z=0.000000)
run_step waypoint loc: Location(x=-276.220581, y=243.746811, z=0.000000)
run_step waypoint loc: Location(x=-276.220581, y=243.746811, z=0.000000)
run_step waypoint loc: Location(x=-274.220581, y=243.743210, z=0.000000)
run_step waypoint loc: Location(x=-274.220581, y=243.743210, z=0.000000)
run_step waypoint loc: Location(x=-274.220581, y=243.743210, z=0.000000)
run_step waypoint loc: Location(x=-274.220581, y=243.743210, z=0.000000)
run_step waypoint loc: Location(x=-274.220581, y=243.743210, z=0.000000)
run_step waypoint loc: Location(x=-272.220612, y=243.739624, z=0.000000)
run_step waypoint loc: Location(x=-272.220612, y=243.739624, z=0.000000)
run_step waypoint loc: Location(x=-272.220612, y=243.739624, z=0.000000)
run_step waypoint loc: Location(x=-272.220612, y=243.739624, z=0.000000)
run_step waypoint loc: Location(x=-272.220612, y=243.739624, z=0.000000)
run_step waypoint loc: Location(x=-270.220612, y=243.736023, z=0.000000)
run_step waypoint loc: Location(x=-270.220612, y=243.736023, z=0.000000)
run_step waypoint loc: Location(x=-270.220612, y=243.736023, z=0.000000)
run_step waypoint loc: Location(x=-270.220612, y=243.736023, z=0.000000)
run_step waypoint loc: Location(x=-270.220612, y=243.736023, z=0.000000)
run_step waypoint loc: Location(x=-268.220612, y=243.732422, z=0.000000)
run_step waypoint loc: Location(x=-268.220612, y=243.732422, z=0.000000)
run_step waypoint loc: Location(x=-268.220612, y=243.732422, z=0.000000)
run_step waypoint loc: Location(x=-268.220612, y=243.732422, z=0.000000)
run_step waypoint loc: Location(x=-266.220612, y=243.728821, z=0.000000)
run_step waypoint loc: Location(x=-266.220612, y=243.728821, z=0.000000)
run_step waypoint loc: Location(x=-266.220612, y=243.728821, z=0.000000)
run_step waypoint loc: Location(x=-266.220612, y=243.728821, z=0.000000)
run_step waypoint loc: Location(x=-266.220612, y=243.728821, z=0.000000)
run_step waypoint loc: Location(x=-264.220612, y=243.725220, z=0.000000)
run_step waypoint loc: Location(x=-264.220612, y=243.725220, z=0.000000)
run_step waypoint loc: Location(x=-264.220612, y=243.725220, z=0.000000)
run_step waypoint loc: Location(x=-264.220612, y=243.725220, z=0.000000)
run_step waypoint loc: Location(x=-264.220612, y=243.725220, z=0.000000)
run_step waypoint loc: Location(x=-262.220612, y=243.721619, z=0.000000)
run_step waypoint loc: Location(x=-262.220612, y=243.721619, z=0.000000)
run_step waypoint loc: Location(x=-262.220612, y=243.721619, z=0.000000)
run_step waypoint loc: Location(x=-262.220612, y=243.721619, z=0.000000)
run_step waypoint loc: Location(x=-262.220612, y=243.721619, z=0.000000)
run_step waypoint loc: Location(x=-260.220612, y=243.718033, z=0.000000)
run_step waypoint loc: Location(x=-260.220612, y=243.718033, z=0.000000)
run_step waypoint loc: Location(x=-260.220612, y=243.718033, z=0.000000)
run_step waypoint loc: Location(x=-260.220612, y=243.718033, z=0.000000)
run_step waypoint loc: Location(x=-260.220612, y=243.718033, z=0.000000)
run_step waypoint loc: Location(x=-258.220612, y=243.714432, z=0.000000)
run_step waypoint loc: Location(x=-258.220612, y=243.714432, z=0.000000)
run_step waypoint loc: Location(x=-258.220612, y=243.714432, z=0.000000)
run_step waypoint loc: Location(x=-258.220612, y=243.714432, z=0.000000)
run_step waypoint loc: Location(x=-258.220612, y=243.714432, z=0.000000)
run_step waypoint loc: Location(x=-256.220612, y=243.710831, z=0.000000)
run_step waypoint loc: Location(x=-256.220612, y=243.710831, z=0.000000)
run_step waypoint loc: Location(x=-256.220612, y=243.710831, z=0.000000)
run_step waypoint loc: Location(x=-256.220612, y=243.710831, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-254.220612, y=243.707230, z=0.000000)
run_step waypoint loc: Location(x=-252.220612, y=243.703629, z=0.000000)
run_step waypoint loc: Location(x=-252.220612, y=243.703629, z=0.000000)
run_step waypoint loc: Location(x=-252.220612, y=243.703629, z=0.000000)
run_step waypoint loc: Location(x=-252.220612, y=243.703629, z=0.000000)
run_step waypoint loc: Location(x=-250.220612, y=243.700043, z=0.000000)
run_step waypoint loc: Location(x=-250.220612, y=243.700043, z=0.000000)
run_step waypoint loc: Location(x=-250.220612, y=243.700043, z=0.000000)
run_step waypoint loc: Location(x=-250.220612, y=243.700043, z=0.000000)
run_step waypoint loc: Location(x=-250.220612, y=243.700043, z=0.000000)
run_step waypoint loc: Location(x=-248.220627, y=243.696442, z=0.000000)
run_step waypoint loc: Location(x=-248.220627, y=243.696442, z=0.000000)
